file,bpm,score_rythme,score_musicalite,score_rythme_alt,score_musicalite_alt,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr_mean,genre_ambient,genre_classical,genre_electronic,genre_jazz,genre_latino,genre_pop,genre_reggea,genre_rock,genre_simple_note,genre_unknown,genre_voice,version_degraded_musicality,version_degraded_rhythm,version_original
audio_degraded/synth_208499_Analog_Synth_01_G___degraded_musicality.wav,-0.043014370238223756,0.6790538537398797,0.6774016422147574,1.1039633378242044,0.1744148476208436,-0.6497620887786616,-1.6605957722285667,-0.11607655145626367,-1.1388769659325286,-0.9113833081207701,-1.2054640517072952,-0.4002250493227165,-0.0687020015796774,0.4156812336679787,-0.2918875384813917,-0.2787584631309761,-0.14788731853245848,0.6842683984089993,0.36001405333835196,0.10410755650979167,0.7179476920131332,1.864511275878122,0.40207260076302154,0.2281350233133151,0.3149359217956504,0.21155344124456557,0.17350638999613274,0.09991123180418997,0.24980426288951724,0.5981042496326017,-0.5104235995300056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
audio_degraded/guitar_130482_Time-Stretched_Electric_Guitar_7__degraded_musicality.wav,0.7364130269297559,-1.4054835577406826,-0.9743905395404393,-0.7937587635595516,-0.9007249412697085,0.5367649926238451,1.7986912085285258,-1.4565520055271959,-2.3149522297289016,0.060293604795189006,-1.1132565129724241,-0.18279050394003146,-0.11732646078211312,2.9548084937974696e-05,-0.04296189641946943,0.07918004816626284,-0.31033286143570216,0.2205632048771521,0.1263464268823851,0.1004732244067624,0.0265372063096882,-0.23936420110811635,-0.17109221480223247,-0.2498770340859848,-0.5575808204726898,-0.07897450889818272,-0.14115254862301146,-0.40927998477251215,-0.2199228763949055,-0.08944475542608268,0.006308906719411845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
guitar/800688_Acoustic_Guitar_Oneshot_Slice_57.mp3,-0.043014370238223756,0.6790538537398797,0.6774016422147574,,,0.6159054813375423,0.5240794115418616,0.11452159170330783,0.3295192920522102,-0.6925170524239918,1.8470612345784045,0.03347066405203222,1.9486604764992692,-0.13804894951810548,0.4970991061878502,0.24180021226035814,0.2911058429265111,-0.23716966504109854,0.9879744927711148,-0.07023022710992559,-0.4667607616571101,-0.7290006668689132,-0.48029613824908796,-0.09360275063850741,0.27710431184399803,0.5653389326671376,0.9594096376142577,1.4956518146559028,1.9661008911186433,2.000760752732075,-0.6459558962833648,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
audio_degraded/voice_254330_Male_vocal_breathy_aahhh__degraded_musicality.wav,0.6413609053239048,-2.7951751653943906,-2.626182721295636,-2.058906831148722,-1.9758647301602605,0.9080243470237489,0.15092370762936347,-0.9837620006969874,-0.44309820676174944,-2.2937814057970747,2.50642176227223,-1.632108398290632,0.5250723094095472,-0.8854362798695651,0.8827290220949,-0.5740505286060154,1.0203362152489297,1.5236502797107028,-0.42292967513194274,-0.23831335882927798,0.15035443797472342,0.6254341679810342,0.27210970601739937,0.04403913672411238,0.3311872920651101,1.5150738271272832,0.9058284966870465,-0.270952961025976,-0.684291887654744,-0.6620039387677089,0.41335991905650693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
audio_degraded/guitar_167414_OpenB__degraded_musicality.wav,-0.043014370238223756,0.6790538537398797,0.6774016422147574,1.1039633378242044,0.1744148476208436,-1.450647523341401,-0.49328680726373536,1.3572942020696557,-0.42670905800401093,-0.18663754931907892,-0.5716283842991325,-0.0101483547507477,-0.20588878069536143,-0.2383670611034485,-1.2865142947591846,-1.088859272946779,-0.4878906681934239,0.5053158280341942,-1.4865293044144572,-1.6478100820638582,-1.8341627243861414,-1.7007481041385752,-0.6746304657454354,-1.2541900886810755,-1.5651249699388943,-1.0796910188279263,0.6813789217958024,2.141183240254363,1.0485730810208593,-0.2618590941998455,-0.6998672764015185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
drums/457380_kick_8.mp3,0.12807944865230836,-4.937176383825587e-16,0.0,,,2.2212506990978116,0.1727217039045636,0.1802083491368104,0.5610205123428429,0.03021344357705804,1.508716083525086,-0.1979187453898461,1.5441470865318287,-0.2746455391017551,1.4774486272857634,-0.3518312218020729,1.573257628530289,-0.3180083859092445,0.8851823591188005,0.4799216151366701,0.08332685127205576,0.18188795564503019,0.39023591546219083,0.5903002666782267,0.6571490603823968,1.0145608536000206,1.5862077338433098,1.92291613437173,1.6117542890284022,1.2548083979979947,-0.804149192478498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
audio_degraded/sfx_322500_Explosion_14b__degraded_musicality.wav,-0.043014370238223756,0.6790538537398797,0.6774016422147574,1.1039633378242044,0.1744148476208436,-0.28026774662368403,-1.1765129374997172,0.6541744073331927,0.09379068620818452,1.2440872477636136,0.9445041552118099,1.3062349492193683,0.6644164356470355,1.1981874884029629,0.8012751026701176,1.2297563677080463,0.778845652623963,1.0148241389697497,1.2396755782114428,1.2776505117877563,1.3287597465050456,1.4931690946442915,1.422906133193643,1.4527718641862233,1.4020109250878365,1.3281990166779443,1.1807401403616185,1.0692457490751057,0.99176449088117,1.1400907491526655,-0.6606270871923406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
audio_degraded/ambient_327691_ambience_hydroelectric_power_station_Donau_Greifenstein__degraded_musicality.wav,-0.42322285666162845,-4.937176383825587e-16,0.0,,-1.9758647301602605,0.2601182197380082,2.308028562463282,-0.9852762184858638,-0.449818403452058,0.5223130705061929,-1.89890395625532,1.3389551545881875,-0.34652011833096463,-0.5481949065930714,0.5614820875708183,-0.13380320905992216,0.18916026726212187,0.26776909278626526,1.0841094564667708,1.3803746127164955,1.0368269965029802,0.9679456095319693,1.0057533977981066,0.8057157405241283,0.43382597324801975,0.2977881844485379,0.07996368873750583,-0.142305399662113,0.03583614202072059,0.45650952970402453,-0.46741726987730176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
guitar/329705_guitar.mp3,-0.385202008019288,-0.015791950086974406,0.01668476951267876,,,-0.4376107939954965,0.36873803885428674,1.479515524465798,-0.09997837100266731,0.41158273864376277,0.13209315246885367,0.4960199083486649,0.5302133728192063,0.5801012411948165,-0.34971523815230665,0.14277961488055504,-0.3282960116833223,-0.7204602650694821,-0.07487632501343262,0.9031482709457181,1.2757326250849264,0.778619331934608,-0.21963280745688896,-0.38942600303225483,-0.3492909654492983,-0.2247822340117323,-0.32748419835752446,-0.532400962506642,-0.6257588991846638,-0.5768301602888064,-0.5880261675098214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
audio_degraded/guitar_8400_Clean_G_harm__degraded_rhythm.wav,-0.043014370238223756,0.6790538537398797,0.6774016422147574,0.1551022871323264,1.0959632380984596,-1.078730064286827,-2.0948688811203082,0.2841785461323335,-0.7917340501429423,-0.19872642982463168,-0.4533752645964868,-0.003831734970669818,-0.35201541354872834,-0.019908823643886533,-0.35685522835199346,0.008937643689383117,-0.2998127071289384,-0.12888045394975653,-0.4765143676638075,-0.4969825313729126,-0.36597240275182324,-0.388142072952559,-0.46243904092209925,-0.4053379418543774,0.39614077786372676,2.0887389975989286,0.984464269782815,-0.09153549464135892,-0.31685977041889585,-0.36341421553847225,3.017468029290367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
